,Fecha,TPD,EDP,VE
0,2017-12-31 01:00:00+00:00,76.81,28.89,26.56
1,2017-12-31 02:00:00+00:00,77.03,29.04,26.69
2,2017-12-31 03:00:00+00:00,72.65,24.86,22.62
3,2017-12-31 04:00:00+00:00,72.29,24.57,22.35
4,2017-12-31 05:00:00+00:00,72.39,24.71,22.51
5,2017-12-31 06:00:00+00:00,73.38,25.68,27.93
6,2017-12-31 07:00:00+00:00,76.54,28.8,31.16
7,2017-12-31 08:00:00+00:00,83.6,35.61,38.26
8,2017-12-31 09:00:00+00:00,87.43,39.32,42.15
9,2017-12-31 10:00:00+00:00,85.89,37.81,40.56
10,2017-12-31 11:00:00+00:00,83.38,101.93,38.05
11,2017-12-31 12:00:00+00:00,82.27,100.81,100.81
12,2017-12-31 13:00:00+00:00,79.76,98.27,98.27
13,2017-12-31 14:00:00+00:00,75.1,93.59,93.59
14,2017-12-31 15:00:00+00:00,75.94,94.42,94.42
15,2017-12-31 16:00:00+00:00,80.99,99.51,99.51
16,2017-12-31 17:00:00+00:00,89.43,108.04,108.04
17,2017-12-31 18:00:00+00:00,94.87,113.54,113.54
18,2017-12-31 19:00:00+00:00,94.04,112.66,112.66
19,2017-12-31 20:00:00+00:00,85.67,104.21,104.21
20,2017-12-31 21:00:00+00:00,76.79,29.1,95.3
21,2017-12-31 22:00:00+00:00,77.1,29.45,31.75
22,2017-12-31 23:00:00+00:00,76.13,27.95,30.55
23,2018-01-01 00:00:00+00:00,74.24,26.15,23.8
24,2018-01-01 01:00:00+00:00,73.05,25.03,22.72
25,2018-01-01 02:00:00+00:00,69.48,21.64,19.45
26,2018-01-01 03:00:00+00:00,70.25,22.37,20.15
27,2018-01-01 04:00:00+00:00,68.43,20.64,18.48
28,2018-01-01 05:00:00+00:00,72.4,24.41,22.13
29,2018-01-01 06:00:00+00:00,72.14,24.17,26.54
30,2018-01-01 07:00:00+00:00,70.91,23.3,25.43
31,2018-01-01 08:00:00+00:00,69.4,22.02,23.99
32,2018-01-01 09:00:00+00:00,66.06,18.88,20.67
33,2018-01-01 10:00:00+00:00,65.97,18.66,20.5
34,2018-01-01 11:00:00+00:00,65.54,83.92,20.03
35,2018-01-01 12:00:00+00:00,65.79,84.21,84.21
36,2018-01-01 13:00:00+00:00,69.8,88.27,88.27
37,2018-01-01 14:00:00+00:00,70.6,89.09,89.09
38,2018-01-01 15:00:00+00:00,69.87,88.35,88.35
39,2018-01-01 16:00:00+00:00,74.21,92.73,92.73
40,2018-01-01 17:00:00+00:00,82.52,101.14,101.14
41,2018-01-01 18:00:00+00:00,88.3,107.0,107.0
42,2018-01-01 19:00:00+00:00,85.53,104.17,104.17
43,2018-01-01 20:00:00+00:00,87.61,106.26,106.26
44,2018-01-01 21:00:00+00:00,90.73,41.79,109.48
45,2018-01-01 22:00:00+00:00,83.03,34.5,37.5
46,2018-01-01 23:00:00+00:00,83.68,35.37,38.26
47,2018-01-02 00:00:00+00:00,79.57,31.42,28.97
48,2018-01-02 01:00:00+00:00,75.98,27.97,25.63
49,2018-01-02 02:00:00+00:00,74.22,26.29,23.99
50,2018-01-02 03:00:00+00:00,73.37,25.48,23.21
51,2018-01-02 04:00:00+00:00,77.78,29.72,27.35
52,2018-01-02 05:00:00+00:00,92.93,44.36,41.59
53,2018-01-02 06:00:00+00:00,110.87,61.78,65.67
54,2018-01-02 07:00:00+00:00,115.0,66.25,69.91
55,2018-01-02 08:00:00+00:00,114.7,66.15,69.59
56,2018-01-02 09:00:00+00:00,115.18,66.68,70.14
57,2018-01-02 10:00:00+00:00,113.95,65.49,68.91
58,2018-01-02 11:00:00+00:00,111.96,130.64,66.93
59,2018-01-02 12:00:00+00:00,112.15,130.89,130.89
60,2018-01-02 13:00:00+00:00,112.49,131.23,131.23
61,2018-01-02 14:00:00+00:00,111.55,130.28,130.28
62,2018-01-02 15:00:00+00:00,111.26,129.99,129.99
63,2018-01-02 16:00:00+00:00,114.26,133.01,133.01
64,2018-01-02 17:00:00+00:00,117.13,135.91,135.91
65,2018-01-02 18:00:00+00:00,118.45,137.24,137.24
66,2018-01-02 19:00:00+00:00,121.37,140.18,140.18
67,2018-01-02 20:00:00+00:00,121.56,140.43,140.43
68,2018-01-02 21:00:00+00:00,118.69,69.16,137.65
69,2018-01-02 22:00:00+00:00,106.76,57.69,61.5
70,2018-01-02 23:00:00+00:00,76.68,28.67,31.18
71,2018-01-03 00:00:00+00:00,71.51,23.71,21.51
72,2018-01-03 01:00:00+00:00,69.29,21.57,19.43
73,2018-01-03 02:00:00+00:00,66.57,18.98,16.91
74,2018-01-03 03:00:00+00:00,65.5,17.97,15.94
75,2018-01-03 04:00:00+00:00,68.65,21.03,18.91
76,2018-01-03 05:00:00+00:00,77.92,30.02,27.68
77,2018-01-03 06:00:00+00:00,107.82,58.87,62.66
78,2018-01-03 07:00:00+00:00,117.07,68.24,71.98
79,2018-01-03 08:00:00+00:00,118.56,69.82,73.45
80,2018-01-03 09:00:00+00:00,118.97,70.34,73.95
81,2018-01-03 10:00:00+00:00,117.72,69.13,72.69
82,2018-01-03 11:00:00+00:00,116.54,135.26,71.52
83,2018-01-03 12:00:00+00:00,116.43,135.2,135.2
84,2018-01-03 13:00:00+00:00,115.96,134.72,134.72
85,2018-01-03 14:00:00+00:00,115.27,134.02,134.02
86,2018-01-03 15:00:00+00:00,114.22,132.98,132.98
87,2018-01-03 16:00:00+00:00,115.66,134.43,134.43
88,2018-01-03 17:00:00+00:00,117.81,136.59,136.59
89,2018-01-03 18:00:00+00:00,118.09,136.88,136.88
90,2018-01-03 19:00:00+00:00,119.24,138.03,138.03
91,2018-01-03 20:00:00+00:00,120.15,139.07,139.07
92,2018-01-03 21:00:00+00:00,119.27,69.6,138.23
93,2018-01-03 22:00:00+00:00,108.17,58.97,62.89
94,2018-01-03 23:00:00+00:00,96.28,47.38,50.9
95,2018-01-04 00:00:00+00:00,72.21,24.38,22.14
96,2018-01-04 01:00:00+00:00,67.26,19.67,17.58
97,2018-01-04 02:00:00+00:00,66.76,19.17,17.11
98,2018-01-04 03:00:00+00:00,68.22,20.58,18.46
99,2018-01-04 04:00:00+00:00,75.21,27.3,24.98
100,2018-01-04 05:00:00+00:00,87.81,39.43,36.78
101,2018-01-04 06:00:00+00:00,100.52,51.81,55.26
102,2018-01-04 07:00:00+00:00,111.83,63.19,66.72
103,2018-01-04 08:00:00+00:00,113.03,64.48,67.96
104,2018-01-04 09:00:00+00:00,113.44,64.87,68.37
105,2018-01-04 10:00:00+00:00,112.74,64.19,67.66
106,2018-01-04 11:00:00+00:00,111.84,130.52,66.77
107,2018-01-04 12:00:00+00:00,112.13,130.87,130.87
108,2018-01-04 13:00:00+00:00,110.09,128.87,128.87
109,2018-01-04 14:00:00+00:00,108.98,127.74,127.74
110,2018-01-04 15:00:00+00:00,108.45,127.15,127.15
111,2018-01-04 16:00:00+00:00,114.54,133.29,133.29
112,2018-01-04 17:00:00+00:00,114.07,132.82,132.82
113,2018-01-04 18:00:00+00:00,112.94,131.68,131.68
114,2018-01-04 19:00:00+00:00,113.61,132.41,132.41
115,2018-01-04 20:00:00+00:00,114.59,133.46,133.46
116,2018-01-04 21:00:00+00:00,115.32,65.82,134.24
117,2018-01-04 22:00:00+00:00,106.85,57.66,61.59
118,2018-01-04 23:00:00+00:00,97.45,48.49,52.12
119,2018-01-05 00:00:00+00:00,77.01,28.98,26.59
120,2018-01-05 01:00:00+00:00,70.35,22.61,20.43
121,2018-01-05 02:00:00+00:00,69.02,21.32,19.18
122,2018-01-05 03:00:00+00:00,67.76,20.17,18.07
123,2018-01-05 04:00:00+00:00,77.2,29.14,26.76
124,2018-01-05 05:00:00+00:00,90.6,42.05,39.32
125,2018-01-05 06:00:00+00:00,105.96,57.03,60.77
126,2018-01-05 07:00:00+00:00,115.32,66.23,70.19
127,2018-01-05 08:00:00+00:00,117.26,68.29,72.18
128,2018-01-05 09:00:00+00:00,118.61,69.66,73.5
129,2018-01-05 10:00:00+00:00,117.13,68.23,72.02
130,2018-01-05 11:00:00+00:00,116.95,135.73,71.86
131,2018-01-05 12:00:00+00:00,117.14,135.97,135.97
132,2018-01-05 13:00:00+00:00,117.52,136.36,136.36
133,2018-01-05 14:00:00+00:00,118.56,137.4,137.4
134,2018-01-05 15:00:00+00:00,120.02,138.88,138.88
135,2018-01-05 16:00:00+00:00,122.57,141.45,141.45
136,2018-01-05 17:00:00+00:00,124.06,142.9,142.9
137,2018-01-05 18:00:00+00:00,124.85,143.69,143.69
138,2018-01-05 19:00:00+00:00,127.61,146.54,146.54
139,2018-01-05 20:00:00+00:00,128.76,147.69,147.69
140,2018-01-05 21:00:00+00:00,127.12,77.03,146.16
141,2018-01-05 22:00:00+00:00,123.99,74.03,78.83
142,2018-01-05 23:00:00+00:00,127.58,77.13,82.36
143,2018-01-06 00:00:00+00:00,122.01,71.77,67.93
144,2018-01-06 01:00:00+00:00,114.49,64.5,60.91
145,2018-01-06 02:00:00+00:00,110.47,60.73,57.26
146,2018-01-06 03:00:00+00:00,100.82,51.55,48.39
147,2018-01-06 04:00:00+00:00,99.92,50.7,47.61
148,2018-01-06 05:00:00+00:00,99.83,50.67,47.57
149,2018-01-06 06:00:00+00:00,106.7,57.3,61.42
150,2018-01-06 07:00:00+00:00,112.27,62.89,67.07
151,2018-01-06 08:00:00+00:00,115.75,66.41,70.56
152,2018-01-06 09:00:00+00:00,122.6,73.1,77.47
153,2018-01-06 10:00:00+00:00,124.32,74.75,79.2
154,2018-01-06 11:00:00+00:00,122.17,141.04,76.99
155,2018-01-06 12:00:00+00:00,119.05,137.96,137.96
156,2018-01-06 13:00:00+00:00,115.14,134.01,134.01
157,2018-01-06 14:00:00+00:00,110.67,129.54,129.54
158,2018-01-06 15:00:00+00:00,104.89,123.69,123.69
159,2018-01-06 16:00:00+00:00,111.13,130.01,130.01
160,2018-01-06 17:00:00+00:00,117.17,136.06,136.06
161,2018-01-06 18:00:00+00:00,115.81,134.74,134.74
162,2018-01-06 19:00:00+00:00,117.35,136.24,136.24
163,2018-01-06 20:00:00+00:00,117.9,136.85,136.85
164,2018-01-06 21:00:00+00:00,117.59,67.62,136.58
165,2018-01-06 22:00:00+00:00,116.29,66.38,71.01
166,2018-01-06 23:00:00+00:00,111.41,61.79,66.16
167,2018-01-07 00:00:00+00:00,83.5,35.23,32.65
168,2018-01-07 01:00:00+00:00,84.91,36.54,33.93
169,2018-01-07 02:00:00+00:00,85.56,37.09,34.43
170,2018-01-07 03:00:00+00:00,84.62,36.11,33.47
171,2018-01-07 04:00:00+00:00,86.37,37.78,35.11
172,2018-01-07 05:00:00+00:00,88.89,40.29,37.53
173,2018-01-07 06:00:00+00:00,92.59,43.81,47.2
174,2018-01-07 07:00:00+00:00,100.28,51.23,54.94
175,2018-01-07 08:00:00+00:00,112.69,63.07,67.43
176,2018-01-07 09:00:00+00:00,119.71,69.82,74.51
177,2018-01-07 10:00:00+00:00,123.02,73.11,77.86
178,2018-01-07 11:00:00+00:00,121.79,140.77,76.66
179,2018-01-07 12:00:00+00:00,123.38,142.38,142.38
180,2018-01-07 13:00:00+00:00,123.2,142.27,142.27
181,2018-01-07 14:00:00+00:00,119.23,138.24,138.24
182,2018-01-07 15:00:00+00:00,118.57,137.58,137.58
183,2018-01-07 16:00:00+00:00,123.63,142.63,142.63
184,2018-01-07 17:00:00+00:00,130.34,149.42,149.42
185,2018-01-07 18:00:00+00:00,140.84,160.03,160.03
186,2018-01-07 19:00:00+00:00,143.79,163.01,163.01
187,2018-01-07 20:00:00+00:00,150.14,169.43,169.43
188,2018-01-07 21:00:00+00:00,144.85,93.88,164.15
189,2018-01-07 22:00:00+00:00,137.25,86.71,92.17
190,2018-01-07 23:00:00+00:00,140.03,88.91,94.86
191,2018-01-08 00:00:00+00:00,129.61,78.87,74.81
192,2018-01-08 01:00:00+00:00,124.23,73.63,69.74
193,2018-01-08 02:00:00+00:00,120.73,70.36,66.53
194,2018-01-08 03:00:00+00:00,120.05,69.72,65.91
195,2018-01-08 04:00:00+00:00,121.16,70.9,67.14
196,2018-01-08 05:00:00+00:00,129.89,79.61,75.79
197,2018-01-08 06:00:00+00:00,137.64,87.3,92.61
198,2018-01-08 07:00:00+00:00,138.03,88.38,93.01
199,2018-01-08 08:00:00+00:00,136.85,87.48,91.87
200,2018-01-08 09:00:00+00:00,136.95,87.66,91.99
201,2018-01-08 10:00:00+00:00,135.35,86.18,90.39
202,2018-01-08 11:00:00+00:00,135.06,153.92,90.04
203,2018-01-08 12:00:00+00:00,135.38,154.31,154.31
204,2018-01-08 13:00:00+00:00,135.72,154.66,154.66
205,2018-01-08 14:00:00+00:00,135.98,154.92,154.92
206,2018-01-08 15:00:00+00:00,133.58,152.5,152.5
207,2018-01-08 16:00:00+00:00,133.34,152.26,152.26
208,2018-01-08 17:00:00+00:00,135.42,154.35,154.35
209,2018-01-08 18:00:00+00:00,136.78,155.8,155.8
210,2018-01-08 19:00:00+00:00,139.1,158.14,158.14
211,2018-01-08 20:00:00+00:00,140.26,159.29,159.29
212,2018-01-08 21:00:00+00:00,139.58,89.01,158.76
213,2018-01-08 22:00:00+00:00,136.99,86.53,91.86
214,2018-01-08 23:00:00+00:00,141.76,90.71,96.72
215,2018-01-09 00:00:00+00:00,124.37,74.07,70.27
216,2018-01-09 01:00:00+00:00,116.12,66.16,62.61
217,2018-01-09 02:00:00+00:00,114.98,65.08,61.51
218,2018-01-09 03:00:00+00:00,114.02,64.16,60.62
219,2018-01-09 04:00:00+00:00,113.56,63.79,60.36
220,2018-01-09 05:00:00+00:00,114.54,65.0,61.62
221,2018-01-09 06:00:00+00:00,122.76,73.19,77.62
222,2018-01-09 07:00:00+00:00,123.9,74.83,78.84
223,2018-01-09 08:00:00+00:00,129.7,80.65,84.64
224,2018-01-09 09:00:00+00:00,129.02,80.06,84.04
225,2018-01-09 10:00:00+00:00,125.41,76.57,80.42
226,2018-01-09 11:00:00+00:00,121.91,140.67,76.92
227,2018-01-09 12:00:00+00:00,121.22,140.04,140.04
228,2018-01-09 13:00:00+00:00,119.54,138.34,138.34
229,2018-01-09 14:00:00+00:00,119.86,138.66,138.66
230,2018-01-09 15:00:00+00:00,120.19,138.99,138.99
231,2018-01-09 16:00:00+00:00,123.02,141.85,141.85
232,2018-01-09 17:00:00+00:00,132.27,151.18,151.18
233,2018-01-09 18:00:00+00:00,135.61,154.55,154.55
234,2018-01-09 19:00:00+00:00,137.23,156.17,156.17
235,2018-01-09 20:00:00+00:00,138.67,157.69,157.69
236,2018-01-09 21:00:00+00:00,137.14,86.83,156.3
237,2018-01-09 22:00:00+00:00,131.68,81.52,86.54
238,2018-01-09 23:00:00+00:00,132.73,82.04,87.54
239,2018-01-10 00:00:00+00:00,120.56,70.39,66.71
240,2018-01-10 01:00:00+00:00,118.42,68.3,64.63
241,2018-01-10 02:00:00+00:00,116.91,66.86,63.19
242,2018-01-10 03:00:00+00:00,116.32,66.3,62.7
243,2018-01-10 04:00:00+00:00,115.41,65.55,62.01
244,2018-01-10 05:00:00+00:00,117.48,67.82,64.35
245,2018-01-10 06:00:00+00:00,129.7,79.84,84.66
